vessel,callsign,mmsi,length,length_units,tonnage,power,power_units,crew
3 Brothers,WDJ2190,367589370,75,ft,121,300,HP,6
Alana,WDH2943,367602750,77,ft,102,505,HP,6
Anthony G,WDD4078,367139910,62.1,ft,84,365,HP,7
Aolani,WDH2942,367602740,77,ft,102,505,HP,6
Apsara,WDC9832,367107220,83.3,ft,183,760,HP,6
Autumn,NA,NA,68.4,ft,NA,NA,NA,NA
Azure,WDB5136,367639430,79,ft,126,402,HP,6
Blue Dragon,WCW8644,367132830,85.2,ft,135,700,HP,6
Blue Sky,WCF3666,367442640,62,ft,58,300,HP,5
Capt Andy,WDF4259,367449780,75,ft,100,350,HP,6
Capt Danny,WDG2262,367513810,74.6,ft,158,540,HP,6
Capt Davis,WDE6959,367387110,72,ft,109,503,HP,6
Capt K,WDI5410,367699410,82.6,ft,143,530,HP,7
Capt Kenneth,WDE9574,367418820,77,ft,125,503,HP,6
Capt Kevin,WDD5530,367159690,83.3,ft,167,630,HP,7
Capt Millions I,WDH3493,367607880,78.4,ft,132,660,HP,6
Capt Millions III,WDI7869,367732990,83.3,ft,120,750,HP,6
Capt. Greg,WTC4742,367343000,66.4,ft,102,500,HP,6
Capt. Silver,WDJ6621,367135280,63,ft,63,365,HP,4
Captain Alex,WDJ2055,367754830,72,ft,70,350,HP,6
Captain D,WDF6917,367479170,76.9,ft,119,540,HP,5
Captain J 3,WDD9332,366135000,81,ft,127,540,HP,6
Caroleigh,WDB5462,366909880,78,ft,100,500,HP,6
Christine N,WDD2133,367111320,56,ft,56,280,HP,6
Commander,WDG6356,367556120,73.5,ft,112,402,HP,6
Crystal,WDD4711,367148380,72,ft,90,350,HP,6
Cumberland Trail,WDH8553,367659170,68.5,ft,99,450,HP,6
Destiny,WDJ3184,367330610,71,ft,128,615,HP,6
Double D,WDE8311,367403980,70,ft,37,500,HP,4
Edward G.,WTC 4737,303114000,77.9,ft,174,725,HP,6
Finback,WDJ6627,367460990,52.1,ft,57,350,HP,4
Gail Ann,WAK2110,303174000,92.7,ft,187,730,HP,6
Golden Dragon,WDF6184,367562160,88.4,ft,177,670,HP,6
Golden Eagle,WDD353,367132820,79.2,ft,139,670,HP,6
Golden Eagle II,WDF6942,367479450,72.3,ft,104,670,HP,6
Golden Phoenix,WDI6495,367719270,82.3,ft,135,671,HP,7
Green Mountain,WDI7875,367733060,72,ft,103,365,HP,6
Gutsy Lady 4,WDG7854,367571490,85.8,ft,170,1200,HP,5
Hawaii Ocean,WDH2830,367601630,84.3,ft,120,700,HP,6
Hokuao,WCW9327,367149620,62.3,ft,96,420,HP,6
Holokai,WDI4210,367696320,42.8,ft,28,150,HP,4
Iron Lady,WDH9145,367665070,63.1,ft,94,600,HP,6
Jane,WDB5370,366908890,56.7,ft,49,260,HP,5
Janthina,WDD5640,367161340,79.2,ft,126,425,HP,5
Jennifer,WDB9703,366981180,54,ft,43,300,HP,6
Jenny,WDE7622,367385940,58.5,ft,83,400,HP,6
Kaimana,WDJ4590,367779150,78,ft,88,NA,NA,NA
Kaimi,WDB5495,366910250,55,ft,67,320,HP,5
Kalani,WDJ2879,367762610,54.7,ft,60,483,HP,6
Kami M,WDD5030,367152680,73.2,ft,161,1000,HP,5
Katherine II,WCX6053,368492000,66,ft,72,250,HP,5
Katy Mary,WCX2232,367150430,74.9,ft,167,600,HP,5
Kawaiola,WDH8904,367662660,68.6,ft,124,450,HP,8
Kawika,WDA6034,366827010,72,ft,89,500,HP,5
Kelly Ann,WBO9234,367320820,77.9,ft,174,671,HP,6
Kilauea,WDF4959,368144000,72,ft,98,550,HP,7
Kimmy I,WCB4766,369004000,78.5,ft,160,700,HP,6
Kraken,WDF7555,367485680,63.4,ft,79,380,HP,6
Lady Alice,WDJ2118,367755410,84,ft,160,850,HP,6
Lady Ann Margaret,WDF3424,367439730,71,ft,88,450,HP,6
Lady Anna,WDD4295,367142780,78,ft,125,700,HP,6
Lady Annie,WDF7010,367480150,73,ft,102,430,HP,6
Lady Betty,WCQ4711,367018980,62,ft,65,300,HP,5
Lady Christine I,WDE5097,367361970,82.6,ft,195,620,HP,6
Lady J3,WDF8205,367492480,70,ft,106,402,HP,6
Lady Jackie,WDG6373,367556290,78.5,ft,138,540,HP,6
Lady Karen,WDI5313,367707290,74.6,ft,149,671,HP,6
Lady Karen II,WDG8523,367578510,68.9,ft,116,540,HP,6
Lady Luck,WDI2728,367681130,72.8,ft,130,540,HP,8
Lady Mocha I,WDG9696,367590390,66,ft,65,402,HP,6
Lady Mocha II,WDI5732,367711550,57,ft,62,400,HP,6
Lady of the Sea,WDG8406,367577170,68,ft,63,425,HP,6
Lady of the Sea II,WDI5216,367705430,68,ft,71,300,HP,6
Lady Pauline,WDH7134,367645140,77,ft,134,540,HP,5
Lanikai,WDJ2257,367756640,76,ft,116,NA,NA,NA
Laura Ann,WDH6391,367637460,69,ft,126,750,HP,7
Mana Hawaii,WDJ6880,368001140,68,ft,NA,NA,NA,NA
Mariah,WCX8862,303835000,69.7,ft,124,500,HP,4
Marie M,WX9744,367151660,65.7,ft,92,365,HP,4
Marine Star,WYZ6767,367306510,68,ft,118,365,HP,5
Mighty Joe,WDD6511,367173840,81.6,ft,124,525,HP,7
Mikette,WDE2331,367323610,84.7,ft,142,540,HP,5
Miss Ellen,WDI6845,367722830,67,ft,81,425,HP,6
Miss Emma,WDG8849,367581690,45.4,ft,36,200,HP,5
Miss Julie,WCW6964,366721530,68.7,ft,112,420,HP,6
Miss Renee,WDG3231,367523880,49.8,ft,60,350,HP,5
Nahoa,WDJ4715,367780410,74.8,ft,NA,NA,NA,NA
Okay,WDC2224,366989720,58.9,ft,60,365,HP,6
Pacific Dragon,WDH9397,367667630,81.5,ft,137,670,HP,6
Pacific Horizon,WDD4529,367692620,73.6,ft,147,520,HP,6
Pacific Paradise,WDH9020,367663880,79.4,ft,161,671,HP,6
Pacific Reflection,WCZ2349,367396870,98,ft,173,730,HP,6
Pacific Star,WDC9440,367102280,82.3,ft,119,670,HP,6
Pacific Sun,WDB6251,366920620,58.5,ft,83,365,HP,5
Paradise 2001,WDF3412,367439590,75,ft,121,505,HP,6
Paradise 2002,WDF3629,367442170,75,ft,121,402,HP,6
Princess Hawaii,WDI7553,367729830,61.5,ft,75,320,HP,6
Princess Jasmine,WDC5729,367045610,83.8,ft,142,503,HP,6
Princess Jasmine II,WDC5730,367045620,78,ft,156,700,HP,6
Princess K,WDG2566,367516940,68.5,ft,101,365,HP,6
Queen Alina,WDE3945,367445940,80.8,ft,135,540,HP,6
Queen Diamond,WDD2346,367114110,76.3,ft,121,503,HP,6
Queen Diamond II,WAD5930,367490140,76,ft,123,425,HP,8
Quynh Vy,WCY9275,367396410,72.8,ft,130,420,HP,5
Rachel,WDG7521,367568130,90.1,ft,195,625,HP,6
Rising Phoenix,WDH2941,367602730,74.3,ft,109,402,HP,6
Rising Phoenix II,WDH3125,367604540,84.6,ft,157,720,HP,6
Robin II,WDF9642,367507280,62,ft,69,365,HP,5
Sancho 1.2,WDI8378,367738010,49,ft,52,240,HP,6
Sapphire,WDH6467,367638270,71,ft,74,402,HP,6
Sapphire II,WDH6468,367638280,76,ft,123,503,HP,6
