vessel,length,crew,tonnage,tonnage_units,engine_power,power_units,imo,noaa_callsign,wcpfc_callsign,length_units,mmsi_manual,mmsi_source,tonnage_manual,tonnage_manual_units,length_manual,length_manual_units,manual_override,manual_source
3 Brothers,75,6,121,GRT,300,HP,8886917,WDJ2190,WDJ2190,ft,367589370,http://maritime-connector.com/ship/jaron-8886917/,,,,,,
Alana,77,6,102,GRT,505,HP,9759563,WDH2943,WDH2943,ft,367602750,http://www.marinetraffic.com/en/ais/details/ships/shipid:4344431/mmsi:367602750/imo:0/vessel:ALANA,,,,,,
Anthony G,62.1,7,84,GRT,365,HP,NA,WDD4078,WDD4078,ft,367139910,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=2843809,,,,,,
Aolani,77,6,102,GRT,505,HP,9759575,WDH2942,WDH2942,ft,367602740,http://www.marinetraffic.com/en/ais/details/ships/shipid:4171929/mmsi:367602740/imo:0/vessel:AOLANI,,,,,,
Apsara,83.3,6,183,GRT,760,HP,8938588,WDC9832,WDC9832,ft,367107220,http://www.marinetraffic.com/tr/ais/details/ships/367107220,,,,,,
Autumn,68.4,NA,NA,NA,NA,NA,NA,NA,NA,ft,NA,,,,,,,
Azure,79,6,126,GRT,402,HP,8854421,WDB5136,WDH6574,ft,367639430,http://www.marinetraffic.com/tr/ais/details/ships/shipid:4211466/mmsi:367639430/vessel:WDH6574,,,,,,
Blue Dragon,85.2,6,135,GRT,700,HP,8941626,WCW8644,WCW8644,ft,367132830,http://www.marinetraffic.com/tr/ais/details/ships/shipid:4173925/mmsi:367132830/vessel:WCW8644,,,,,,
Blue Sky,62,5,58,GRT,300,HP,NA,WCF3666,WDF3666,ft,367442640,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3175568,,,,,,
Capt Andy,75,6,100,GRT,350,HP,8855607,WDF4259,WDF4259,ft,367449780,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3192035,,,,,,
Capt Danny,74.6,6,158,GRT,540,HP,8958409,WDG2262,WDG2262,ft,367513810,http://www.marinetraffic.com/en/ais/details/ships/shipid:4407378/imo:8958409/mmsi:367513810/vessel:CAPT%20DANNY,,,,,,
Capt Davis,72,6,109,GRT,503,HP,8938526,WDE6959,WDE6959,ft,367387110,http://www.marinetraffic.com/en/ais/details/ships/shipid:4011859/mmsi:367387110/vessel:WDE6959,,,,,,
Capt K,82.6,7,143,GRT,530,HP,8939805,WDI5410,WDI4510,ft,367699410,http://www.marinetraffic.com/en/ais/details/ships/shipid:4869841/mmsi:367699410/vessel:WDI4510,,,,,,
Capt Kenneth,77,6,125,GRT,503,HP,8885339,WDE9574,WDE9574,ft,367418820,http://www.marinetraffic.com/en/ais/details/ships/shipid:4013815/mmsi:367418820/vessel:WDE9574,,,,,,
Capt Kevin,83.3,7,167,GRT,630,HP,8855126,WDD5530,WDD5530,ft,367159690,http://www.marinetraffic.com/en/ais/details/ships/shipid:4031823/mmsi:367159690/vessel:WDD5530,,,,,,
Capt Millions I,78.4,6,132,GRT,660,HP,8847844,WDH3493,WDH3493,ft,367607880,http://www.marinetraffic.com/en/ais/details/ships/shipid:4834900/mmsi:367607880/vessel:WDH3493,,,,,,
Capt Millions III,83.3,6,120,GRT,750,HP,8847868,WDI7869,WDI7869,ft,367732990,http://www.marinetraffic.com/en/ais/details/ships/shipid:4091782/mmsi:367732990/vessel:WDI7869,,,,,,
Capt. Greg,66.4,6,102,GRT,500,HP,7940235,WTC4742,WTC4742,ft,367343000,http://www.marinetraffic.com/en/ais/details/ships/shipid:3993940/mmsi:367343000/vessel:WTC4742,,,,,,
Capt. Silver,63,4,63,GRT,365,HP,NA,WDJ6621,WDJ6621,ft,367135280,http://www.marinetraffic.com/en/ais/details/ships/shipid:5139871/mmsi:367135280/vessel:WDJ6621,,,,,,
Captain Alex,72,6,70,GRT,350,HP,NA,WDJ2055,WDJ2055,ft,367754830,http://www.marinetraffic.com/en/ais/details/ships/shipid:4749536/mmsi:367754830/vessel:WDJ2055,,,,,,
Captain D,76.9,5,119,GRT,540,HP,8847777,WDF6917,WDF6917,ft,367479170,http://www.marinetraffic.com/en/ais/details/ships/shipid:4193976/mmsi:367479170/vessel:WDF6917,,,,,,
Captain J 3,81,6,127,GRT,540,HP,8940311,WDD9332,WDD9332,ft,366135000,http://www.marinetraffic.com/en/ais/details/ships/shipid:4133183/mmsi:366135000/vessel:WDD9332,,,,,,
Caroleigh,78,6,100,GRT,500,HP,8986676,WDB5462,WDB5462,ft,366909880,http://www.marinetraffic.com/en/ais/details/ships/shipid:3901067/mmsi:366909880/vessel:WDB5462,,,,,,
Christine N,56,6,56,GRT,280,HP,NA,WDD2133,WDD2133,ft,367111320,http://www.marinetraffic.com/en/ais/details/ships/shipid:4628101/mmsi:367111320/vessel:WDD2133,,,,,,
Commander,73.5,6,112,GRT,402,HP,7515688,WDG6356,WDG6356,ft,367556120,http://www.marinetraffic.com/en/ais/details/ships/shipid:4853137/mmsi:367556120/vessel:WDG6356,,,,,,
Crystal,72,6,90,GRT,350,HP,NA,WDD4711,WDD4711,ft,367148380,http://www.marinetraffic.com/en/ais/details/ships/shipid:4076633/mmsi:367148380/vessel:WDD4711,,,,,,
Cumberland Trail,68.5,6,99,GRT,450,HP,NA,WDH8553,WDH8553,ft,367659170,http://www.marinetraffic.com/en/ais/details/ships/shipid:4115496/mmsi:367659170/vessel:WDH8553,,,,,,
Destiny,71,6,128,GRT,615,HP,8948600,WDJ3184,WDJ3184,ft,367330610,http://www.marinetraffic.com/en/ais/details/ships/shipid:441326/mmsi:367330610/imo:8948600/vessel:DESTINY,,,,,,
Double D,70,4,37,GRT,500,HP,NA,WDE8311,WDE8311,ft,367403980,http://www.marinetraffic.com/en/ais/details/ships/shipid:4011776/mmsi:367403980/vessel:WDE8311,,,,,,
Edward G.,77.9,6,174,GRT,725,HP,8885614,WTC 4737,WTC4737,ft,303114000,http://www.marinetraffic.com/en/ais/details/ships/shipid:4013133/mmsi:303114000/vessel:WTC4737,,,,,,
Finback,52.1,4,57,GRT,350,HP,NA,WDJ6627,WDJ6627,ft,367460990,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3939048,,,,,,
Gail Ann,92.7,6,187,GRT,730,HP,8963923,WAK2110,WAK2110,ft,303174000,http://www.marinetraffic.com/en/ais/details/ships/shipid:4026418/mmsi:303174000/vessel:WAK2110,,,,,,
Golden Dragon,88.4,6,177,GRT,670,HP,8969599,WDF6184,WDG6930,ft,367562160,http://maritime-connector.com/ship/golden-dragon-8969599/,,,,,,
Golden Eagle,79.2,6,139,GRT,670,HP,8939881,WDD353,WDD3538,ft,367132820,https://www.marinetraffic.com/en/ais/details/ships/shipid:4593849/imo:8939881/mmsi:367132820/vessel:GOLDEN%20EAGLE,,,,,,
Golden Eagle II,72.3,6,104,GRT,670,HP,9032850,WDF6942,WDF6942,ft,367479450,https://www.marinetraffic.com/en/ais/details/ships/shipid:4583435/mmsi:367479450/vessel:WDF6942,,,,,,
Golden Phoenix,82.3,7,135,GRT,671,HP,8940531,WDI6495,WDI6495,ft,367719270,https://www.marinetraffic.com/en/ais/details/ships/shipid:4036552/mmsi:367719270/vessel:WDI6495,,,,,,
Green Mountain,72,6,103,GRT,365,HP,8885626,WDI7875,WDI7875,ft,367733060,https://www.marinetraffic.com/en/ais/details/ships/shipid:4440649/mmsi:367733060/vessel:WDI7875,,,,,,
Gutsy Lady 4,85.8,5,170,GRT,1200,HP,8970469,WDG7854,WDG7854,ft,367571490,https://www.marinetraffic.com/en/ais/details/ships/shipid:450760/mmsi:367571490/vessel:WDG7854,,,,,,
Hawaii Ocean,84.3,6,120,GRT,700,HP,8852502,WDH2830,WDH2830,ft,367601630,https://www.marinetraffic.com/en/ais/details/ships/shipid:4954914/mmsi:367601630/vessel:WDH2830,,,,,,
Hokuao,62.3,6,96,GRT,420,HP,NA,WCW9327,WCW9327,ft,367149620,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=1531312,,,,,,
Holokai,42.8,4,28,GRT,150,HP,NA,WDI4210,WDI4210,ft,367696320,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3742586,,,,,,
Iron Lady,63.1,6,94,GRT,600,HP,NA,WDH9145,WDH9145,ft,367665070,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3686628,,,,,,
Jane,56.7,5,49,GRT,260,HP,NA,WDB5370,WDB5370,ft,366908890,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=92NwPFwVP4dTdr25Xb8psMNCwlYVptn2jrLt1RpQWyTKj1vGJJJG!585719505!NONE?licKey=2552260&printable,,,,,,
Janthina,79.2,5,126,GRT,425,HP,8856742,WDD5640,WDD5640,ft,367161340,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=2874290,,,,,,
Jennifer,54,6,43,GRT,300,HP,NA,WDB9703,WDH7003,ft,366981180,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3638797,,,,,,
Jenny,58.5,6,83,GRT,400,HP,NA,WDE7622,WDE6871,ft,367385940,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3060251,,,,,,
Kaimana,78,NA,NA,NA,NA,NA,NA,WDJ4590,NA,ft,367779150,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3903686,88,GRT,78,ft,TRUE,https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=16366&Lang=en
Kaimi,55,5,67,GRT,320,HP,NA,WDB5495,WDB5495,ft,366910250,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=2555357,,,,,,
Kalani,54.7,6,60,GRT,483,HP,NA,WDJ2879,WDJ2879,ft,367762610,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3867564,,,,,,
Kami M,73.2,5,161,GRT,1000,HP,8854495,WDD5030,WDD5030,ft,367152680,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=2862119,,,,,,
Katherine II,66,5,72,GRT,250,HP,NA,WCX6053,WCX6053,ft,368492000,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=1541745,,,,,,
Katy Mary,74.9,5,167,GRT,600,HP,8852447,WCX2232,WCX2232,ft,367150430,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=1533605,,,,,,
Kawaiola,68.6,8,124,GRT,450,HP,7223845,WDH8904,WDH8904,ft,367662660,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3682092,,,,,,
Kawika,72,5,89,GRT,500,HP,NA,WDA6034,WDA6034,ft,366827010,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=2353708,,,,,,
Kelly Ann,77.9,6,174,GRT,671,HP,8854251,WBO9234,WBO9234,ft,367320820,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=1565759,,,,,,
Kilauea,72,7,98,GRT,550,HP,NA,WDF4959,WDF4959,ft,368144000,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3207279,,,,,,
Kimmy I,78.5,6,160,GRT,700,HP,8885729,WCB4766,WDE7685,ft,369004000,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3080534,,,,,,
Kraken,63.4,6,79,GRT,380,HP,NA,WDF7555,WDF7555,ft,367485680,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3280125,,,,,,
Lady Alice,84,6,160,GRT,850,HP,7828839,WDJ2118,WDJ2118,ft,367755410,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3849613,,,,,,
Lady Ann Margaret,71,6,88,GRT,450,HP,NA,WDF3424,WDF3424,ft,367439730,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3168743,,,,,,
Lady Anna,78,6,125,GRT,700,HP,8885547,WDD4295,WDD4295,ft,367142780,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=2848099,,,,,,
Lady Annie,73,6,102,GRT,430,HP,8886010,WDF7010,WDF7010,ft,367480150,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3267525,,,,,,
Lady Betty,62,5,65,GRT,300,HP,NA,WCQ4711,WCQ4711,ft,367018980,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=1444598,,,,,,
Lady Christine I,82.6,6,195,GRT,620,HP,8986688,WDE5097,WDE5097,ft,367361970,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3020247,,,,,,
Lady J3,70,6,106,GRT,402,HP,8853130,WDF8205,WDF8205,ft,367492480,http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3292204,,,,,,
