mmsi,gear,flag,length,tonnage,engine_power,year,departure_port,departure_date,departure_timestamp,arrival_port,arrival_timestamp,time_at_sea_hours,fishing_hours,distance_traveled_km,max_distance_from_shore_km,max_distance_from_port_km,mean_daily_fishing_hours,fraction_suspicious_econ,encounters_transshipment,encounters_bunker,encounters_fishing,coverage_gaps,fishing_foreign_eez,fishing_high_seas,fishing_ntz,suspicious_econ,suspicious_fishing_hours,suspicious_time_at_sea_hours,suspicious_distance_traveled_km,suspicious_mean_daily_fishing_hours,suspicious_encounters_transshipment,suspicious_encounters_bunker,suspicious_encounters_fishing,suspicious_coverage_gaps,risk_score
567003000,set_longlines,THA,66.1033333333,1424,548.601902752,2012,"PHUKET,THA",2012-04-03,2012-04-03T04:19:44Z,"SRIRACHA,THA",2013-12-25T04:55:24Z,9.632361111111111,0,131.7922164202695,85021.4453125,103997.4453125,9.632361111111111,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567001000,drifting_longlines,THA,62.53,1261.85714286,1848.52158733,2012,"PHUKET,THA",2012-05-13,2012-05-13T05:12:08Z,"PHUKET,THA",2013-04-09T13:12:36Z,545.2934722222224,12.818611111111112,8955.838998622383,1245352.125,1372434.25,21.811738888888893,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,2
567001000,drifting_longlines,THA,62.53,1261.85714286,1848.52158733,2012,"PHUKET,THA",2012-04-09,2012-04-09T17:02:37Z,"PHUKET,THA",2012-05-08T15:49:06Z,654.8994444444444,94.35763888888889,4486.66425120662,967431.1875,1175992,23.389265873015873,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,1
567025800,drifting_longlines,THA,53.57,434,635.731687667,2013,"PORT VICTORIA,SYC",2013-04-07,2013-04-07T17:33:19Z,"PORT LOUIS,MUS",2015-06-23T02:25:35Z,1558.3320833333335,717.2668055555555,10427.860037444732,902566.375,984528.5,20.504369517543864,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,1,3
567003000,set_longlines,THA,66.1033333333,1424,548.601902752,2013,"SRIRACHA,THA",2013-12-25,2013-12-25T06:01:47Z,"BANG SAPHAN,THA",2015-03-02T02:53:06Z,151.58458333333326,0,1012.8015121858933,143958.28125,94528.1015625,11.660352564102565,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1
567435897,trawlers,THA,32.3902003831,253.557140956,378.227979742,2013,"359bc959,CHN",2013-12-09,2013-12-09T03:02:43Z,"359bb791,CHN",2014-11-28T09:16:08Z,525.8193055555556,159.11694444444436,1742.4811200404167,233425.21875,345263.90625,9.737394547325106,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,1,2
567435897,trawlers,THA,32.3902003831,253.557140956,378.227979742,2013,"359bb683,CHN",2013-10-19,2013-10-19T21:15:37Z,"359bcbf9,CHN",2013-11-12T09:40:56Z,58.20861111111112,15.08708333333334,224.3391115370573,33999.1640625,134119.78125,11.641722222222223,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2
567435897,trawlers,THA,32.3902003831,253.557140956,378.227979742,2013,"359bcbb5,CHN",2013-08-31,2013-08-31T05:15:16Z,"359bb683,CHN",2013-10-10T15:17:34Z,293.53861111111115,14.670555555555557,1377.5351321284215,223585.65625,359727.1875,14.676930555555554,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,2
567435897,trawlers,THA,32.3902003831,253.557140956,378.227979742,2013,"359bcbf9,CHN",2013-11-13,2013-11-13T03:51:57Z,"359bc959,CHN",2013-12-07T13:14:41Z,30.805555555555557,0,54.35931009123628,23344.662109375,127813.140625,7.7013888888888875,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
567001000,drifting_longlines,THA,62.53,1261.85714286,1848.52158733,2013,"PHUKET,THA",2013-04-10,2013-04-10T13:52:16Z,"PHUKET,THA",2013-04-21T10:06:29Z,225.23986111111105,0,2797.044280565572,719721.1875,911908,20.47635101010101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567001000,drifting_longlines,THA,62.53,1261.85714286,1848.52158733,2013,"PHUKET,THA",2013-04-25,2013-04-25T19:18:48Z,"PHRA SAMUT CHEDI,THA",2013-05-14T04:12:54Z,12.524027777777778,0,307.23605991483583,22824.86328125,33135.26953125,6.262013888888889,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"35960f9b,CHN",2014-04-18,2014-04-18T07:25:56Z,"MAP TA PHUT,THA",2014-06-25T14:28:12Z,717.9851388888889,147.89138888888883,898.984049961841,16999.58203125,30462.345703125,16.697328811369516,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1,2
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"BANGKOK,THA",2014-03-21,2014-03-21T11:02:50Z,"35960f9b,CHN",2014-04-08T21:23:17Z,249.6836111111113,23.646805555555563,434.0794000481209,23769.14453125,34654.59375,17.834543650793655,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,2
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"MAPTAPHUT,THA",2014-11-20,2014-11-20T05:30:16Z,"THUNG PRONG,THA",2014-12-01T16:29:45Z,25.06152777777778,0,41.0066505507703,3162.2001953125,16278.4208984375,8.353842592592592,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"MAPTAPHUT,THA",2014-10-15,2014-10-15T16:02:14Z,"SATTAHIP,THA",2014-10-20T11:07:38Z,1.7419444444444443,0,22.251758828129258,3605.462890625,16278.4208984375,0.8709722222222223,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-12-04,2014-12-04T15:07:26Z,"SONGKHLA HARBOR,THA",2015-02-26T08:27:26Z,37.12444444444444,0,53.44468387956239,10999.73046875,34999.140625,9.28111111111111,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"MAPTAPHUT,THA",2014-03-02,2014-03-02T02:21:02Z,"SATTAHIP,THA",2014-03-03T10:42:24Z,4.954444444444444,0,63.61349588585924,6082.61328125,25806.34375,2.477222222222222,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"MAPTAPHUT,THA",2014-11-14,2014-11-14T15:49:39Z,"SATTAHIP,THA",2014-11-19T18:32:46Z,1.7733333333333334,0,24.161984166087375,5830.80859375,16278.4208984375,0.8866666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-03-13,2014-03-13T18:29:43Z,"BANGKOK,THA",2014-03-21T10:14:31Z,18.26986111111111,0,14.984726056091334,12082.7490234375,37482.41015625,4.567465277777778,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"MAP TA PHUT,THA",2014-06-26,2014-06-26T01:58:34Z,"SATTAHIP,THA",2014-09-01T20:00:24Z,4.152361111111111,0,51.77338971783641,8062.0600585938,9848.6162109375,1.3841203703703706,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"MAP TA PHUT,THA",2014-02-12,2014-02-12T18:48:09Z,"MAPTAPHUT,THA",2014-02-28T13:10:29Z,3.8184722222222223,0,57.736342802656,9999.7548828125,25553.23828125,1.9092361111111114,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-10-20,2014-10-20T11:20:41Z,"SATTAHIP,THA",2014-11-10T01:15:20Z,84.41291666666665,0,229.90432073565466,11180.0654296875,28318.91015625,9.379212962962963,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-03-03,2014-03-03T10:54:44Z,"SATTAHIP,THA",2014-03-13T18:08:02Z,47.657916666666665,0,175.2860550079248,195796.109375,442701.25,7.942986111111111,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-09-25,2014-09-25T17:12:21Z,"MAPTAPHUT,THA",2014-10-13T19:19:54Z,19.026666666666664,8.876666666666665,103.30891444032116,10999.73046875,19924.369140625,4.756666666666666,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-09-01,2014-09-01T20:13:32Z,"SATTAHIP,THA",2014-09-25T16:58:42Z,52.211388888888884,14.579166666666667,248.18428357313854,19234.912109375,17719.609375,4.350949074074075,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-11-10,2014-11-10T01:27:59Z,"SATTAHIP,THA",2014-11-13T10:51:56Z,26.85361111111111,0,75.1960365544943,6708.0390625,9219.318359375,13.426805555555553,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
