trip_id,vessel_name,mmsi,imo,vessel_owner,recruiting_agency,owner_flag,flag_vessel_flies,date_range_start,date_range_end,time_at_sea,fishing_ground_s,species_fished,gears_used,starting_port,government_body_involved,known_transshipment,entry_source,public_reference,general_comments,forced_l_indicator,known_non_offender,known_offender,possible_offender,source,notes,x27,x28,x29,x30
1,Seribu/Ceribu,567000421,NA,Three Wonderful Co,NA,NA,Thailand,NA,January 2016,NA,NA,Tuna,Trawler,NA,y,NA,SFG,Yes,"IUU, arrested. Being investigated for forced labor/human trafficking",Human Trafficking,0,0,1,https://www.bangkokpost.com/print/838864/,"""Police are investigating whether there was any human trafficking involved on the boats, Pol Gen Srivara said.""",NA,NA,NA,NA
2,Mook Andaman 018,567025800,NA,Siam Tuna Fishery Co,NA,NA,Thailand,NA,January 2016,NA,NA,Tuna,Trawler,NA,y,NA,SFG,Yes,"IUU, arrested. Failure to present salary payment and over-time payment documents",Excessive overtime,0,1,0,https://www.bangkokpost.com/print/838864/,"""Police are investigating whether there was any human trafficking involved on the boats, Pol Gen Srivara said.""",http://thaiembdc.org/2016/03/07/thailands-fisheries-reform/,http://www.mfa.go.th/main/en/news3/6886/89815-Thai-Court-Issued-a-Fine-of-over-223-Million-Thai.html,NA,NA
3,Mook Andaman 028,567000000,NA,Siam Tuna Fishery Co,NA,NA,Thailand,NA,January 2016,NA,NA,Tuna,Trawler,NA,y,NA,SFG,Yes,"IUU, arrested. Failure to present salary payment and over-time payment documents",Excessive overtime,0,1,0,https://www.bangkokpost.com/print/838864/,"""Police are investigating whether there was any human trafficking involved on the boats, Pol Gen Srivara said.""",http://thaiembdc.org/2016/03/07/thailands-fisheries-reform/,http://www.mfa.go.th/main/en/news3/6886/89815-Thai-Court-Issued-a-Fine-of-over-223-Million-Thai.html,NA,NA
4,Yu Long 6,510084580,9265550,Sales Service (Thailand) Co,NA,NA,Thailand,NA,January 2016,NA,INDONESIA/PNG,Tuna,Trawler,NA,y,NA,SFG,Yes,"IUU, arrested. Being investigated for forced labor/human trafficking",Human Trafficking,0,0,1,https://www.bangkokpost.com/print/838864/,"""Police are investigating whether there was any human trafficking involved on the boats, Pol Gen Srivara said.""",https://es.scribd.com/document/334344418/Turn-the-Tide,Page 47,http://thaiembdc.org/2016/03/07/thailands-fisheries-reform/,NA
5,Yu Long 125,NA,NA,Sales Service (Thailand) Co,NA,NA,Thailand,NA,January 2016,NA,NA,Tuna,Trawler,NA,y,NA,SFG,Yes,"IUU, arrested. Being investigated for forced labor/human trafficking",Human Trafficking,0,0,1,https://www.bangkokpost.com/print/838864/,"""Police are investigating whether there was any human trafficking involved on the boats, Pol Gen Srivara said.""",http://thaiembdc.org/2016/03/07/thailands-fisheries-reform/,NA,NA,NA
7,Hung Chi Fu 68 (Hongsify 68?),567000445,NA,NA,NA,NA,Thailand,NA,January 2016,NA,NA,Tuna,Trawler,NA,y,NA,SFG,Yes,"IUU, arrested. Being investigated for forced labor/human trafficking",Human Trafficking,0,0,1,http://www.thaiembassy.org/warsaw/en/information/65449-Thailands-Fisheries-Reform-Progress.html,"""Earlier in January 2016, Thailand’s VMS detected six tuna trawlers fishing without license in the Indian Ocean""",NA,NA,NA,NA
8,Phokasathaporn 26,NA,NA,Boonlarp Fishing Limited Partnership,NA,NA,Thailand,NA,July 2015,NA,NA,NA,NA,NA,ejf,NA,SFG,Yes,NA,Debt bondage,0,1,0,https://ejfoundation.org/resources/downloads/EJF-Thailand-Seafood-Slaves-low-res.pdf,NA,NA,NA,NA,NA
9,Phokasathaporn 20,NA,NA,Boonlarp Fishing Limited Partnership,NA,NA,Thailand,NA,July 2015,NA,NA,NA,NA,NA,ejf,NA,SFG,Yes,NA,"Physical abuse, Debt bondage",0,1,0,https://ejfoundation.org/resources/downloads/EJF-Thailand-Seafood-Slaves-low-res.pdf,Page 24,NA,NA,NA,NA
10,Duwong Pramong 5,NA,NA,Boonlarp Fishing Limited Partnership,NA,NA,Thailand,NA,July 2015,NA,NA,NA,NA,NA,ejf,NA,SFG,Yes,"Gun pointed to his head: ""want to work or want to die"".","Intimidation and threats, Debt bondage, Physical abuse",0,1,0,https://ejfoundation.org/resources/downloads/EJF-Thailand-Seafood-Slaves-low-res.pdf,NA,NA,NA,NA,NA
11,Phokasathaporn 34,NA,NA,Boonlarp Fishing Limited Partnership,NA,NA,Thailand,2011,May 2015,NA,NA,NA,Trawler,NA,yes,NA,SFG,Yes,Captain arrested nov 7 2015. Crew member tried to escape. Arrested. What the owner of the company said to have had paid to avert his arrest was added to his debt.,"Physical abuse, Debt bondage",0,1,0,https://ejfoundation.org/resources/downloads/EJF-Thailand-Seafood-Slaves-low-res.pdf,Page 21,NA,NA,NA,NA
